title	content_id	base_path	document_type	level
Courts, sentencing and tribunals	357110bb-cbc5-4708-9711-1b26e6c63e86	/crime-justice-and-law/courts-sentencing-tribunals	taxon	2
Crime, justice and law	ba951b09-5146-43be-87af-44075eac3ae9	/crime-justice-and-law	taxon	1
International aid and development	9fb30a53-70fb-4f1c-878b-0064b202d1ba	/international/international-aid-and-development	taxon	2
International	37d0fa26-abed-4c74-8835-b3b51ae1c8b2	/international	taxon	1
Housing	4ad66168-274d-4d83-9195-f4ab0ccc97cb	/housing-local-and-community/housing	taxon	2
Housing, local and community	4794066e-e3cc-425e-8cc4-e7ff3edb4c39	/housing-local-and-community	taxon	1
Community and society	668cd623-c7a8-4159-9575-90caac36d4b4	/society-and-culture/community-and-society	taxon	2
Society and culture	e2ca2f1a-0ff3-43ce-b813-16645ff27904	/society-and-culture	taxon	1
Charities and social enterprises	80cb30f4-0361-49ea-ad84-bc10910318bf	/business-and-industry/charities-and-social-enterprises	taxon	2
Business and industry	495afdb6-47be-4df1-8b38-91c8adb1eefc	/business-and-industry	taxon	1
Intellectual property	d949275c-88f8-4623-a44b-eb3706651e10	/business/intellectual-property	taxon	3
Business regulation	33bc0eed-62c7-4b0b-9a93-626c9e10c025	/business-and-industry/business-regulation	taxon	2
Air accidents and serious incidents	951ece54-c6df-4fbc-aa18-1bc629815fe2	/transport/air-accidents-and-serious-incidents	taxon	3
Aviation	51efa3dd-e9bc-42b2-aa26-06bf5f543015	/transport/aviation	taxon	2
Transport	a4038b29-b332-4f13-98b1-1c9709e216bc	/transport	taxon	1
Environmental permits	4e561949-4a26-49c2-918d-6ad2972c4d33	/environment/environmental-permits	taxon	2
Environment	3cf97f69-84de-41ae-bc7b-7e2cc238fa58	/environment	taxon	1
Government efficiency, transparency and accountability	f3f4b5d3-49c4-487b-bd5b-be75f11ec8c5	/government/government-efficiency-transparency-and-accountability	taxon	2
Government	e48ab80a-de80-4e83-bf59-26316856a5f9	/government/all	taxon	1
Pollution and environmental quality	a1efce91-28c3-4a33-a2fd-48364b1119a4	/environment/pollution-and-environmental-quality	taxon	2
Defence and armed forces	e491505c-77ae-45b2-84be-8c94b94f6a2b	/defence-and-armed-forces	taxon	1
Government spending	f3caf326-fe33-410f-b7f4-553f4011c81e	/government/government-spending	taxon	3
Welfare	dded88e2-f92e-424f-b73e-6ad24a839c51	/welfare	taxon	1
Self-employment	24e91c04-21cb-479a-8f23-df0eaab31788	/employment/self-employed	taxon	2
Work	d0f1e5a3-c8f4-4780-8678-994f19104b21	/work	taxon	1
UK economy	a1e4659c-dc15-48be-bc4f-6c609ae061dc	/business-and-industry/uk-economy	taxon	2
Trade and investment	ed2ca1f7-5463-4eda-9324-b597e269e242	/business-and-industry/trade-and-investment	taxon	2
Northern Ireland	a1e624ed-e268-44ab-ac3f-4d3cb2bb8cb5	/regional-and-local-government/northern-ireland	taxon	2
Regional and local government	503c5bc7-809a-47b9-83e2-bd0c212dbabb	/regional-and-local-government	taxon	1
Wales	68ad6c84-49fd-4871-95bc-5bd48c0f81e1	/regional-and-local-government/wales	taxon	2
Money	6acc9db4-780e-4a46-92b4-1812e3c2c48a	/money	taxon	1
Pensions and ageing society	6df55cf4-d25c-41d2-aec9-824c67a9eb51	/work/pensions-and-ageing-society	taxon	2
British nationals overseas	3dbeb4a3-33c0-4bda-bd21-b721b0f8736f	/going-and-being-abroad/british-nationals-overseas	taxon	2
Going and being abroad	9597c30a-605a-4e36-8bc1-47e5cdae41b3	/going-and-being-abroad	taxon	1
Getting married 	27db05a4-8204-495f-b622-737ced17d2c7	/life-circumstances/births-deaths-marriages-marriage-divorce-getting-married	taxon	3
Marriage, civil partnership and divorce	fe0b40e6-f742-45b0-9b2c-2cb976ce18ad	/life-circumstances/marriage-divorce	taxon	2
Life circumstances	20086ead-41fc-49cf-8a62-d4e1126f41fc	/life-circumstances	taxon	1
Crime prevention	7f4eaf37-60f8-4d8c-a968-7829098e05ff	/crime-justice-and-law/crime-prevention	taxon	2
Food and farming	52ff5c99-a17b-42c4-a9d7-2cc92cccca39	/environment/food-and-farming	taxon	2
Alerts and recalls	51bbdf23-292a-4b74-8a66-f7db6b93b163	/health-and-social-care/medicines-medical-devices-blood-vigilance-safety-alerts-alerts-and-recalls	taxon	4
Vigilance, safety alerts and guidance	49f5ab15-d6fe-4a8e-8e56-44878798e7d6	/health-and-social-care/medicines-medical-devices-blood-vigilance-safety-alerts	taxon	3
Medicines, medical devices	cebc01ee-f70a-4397-a552-622e10b62508	/health-and-social-care/medicines-medical-devices-blood	taxon	2
Health and social care	8124ead8-8ebc-4faf-88ad-dd5cbcc92ba8	/health-and-social-care	taxon	1
Competition	8db04387-9076-4287-ab46-6a6695b593d7	/business/competition	taxon	3
Animal and plant health	bc962246-c8d5-43ba-97c3-08ed5f3f66ba	/environment/animal-and-plant-health	taxon	3
Wildlife, animals, biodiversity and ecosystems	695dc6f2-27cc-4d8b-adc4-8d07c2bff748	/environment/wildlife-animals-biodiversity-and-ecosystems	taxon	2
Animal welfare	c7db8692-d5a3-4d09-a7f6-3d1c0ab2f4ae	/environment/animal-welfare	taxon	3
Wildlife and animal welfare	d304dcea-c3f6-4b56-859c-6409a8712111	/environment/wildlife-and-animal-welfare	taxon	3
Road infrastructure	95202728-fb55-4aac-a53e-6a8f1553348a	/transport/road-infrastructure	taxon	2
Coronavirus (COVID-19)	5b7b9532-a775-4bd2-a3aa-6ce380184b6c	/coronavirus-taxon	taxon	1
Public health	d6a4884e-769d-4b81-8ba5-b64394362d92	/health-and-social-care/public-health	taxon	2
Inspection of maintained schools and academies	40334e3b-8ce3-48d3-96bc-fec16b43da39	/education/inspection-of-maintained-schools-and-academies	taxon	4
Inspection and performance of schools	940e7a57-171a-4dad-b6eb-e2a5a87c9cec	/education/inspection-and-performance-of-schools	taxon	3
Inspections and performance of education providers	f0dcb0b9-2f2c-46b0-adea-42a4fe608170	/education/inspections-and-performance-of-education-providers	taxon	2
Education, training and skills	c58fdadd-7743-46d6-9629-90bb3ccc4ef0	/education	taxon	1
House building	3b35111d-dedf-47d7-af44-5125a0d9bfd3	/housing-local-and-community/house-building	taxon	3
Planning and building	e3147d4f-4bd5-4a14-a386-4ba7ccb058b4	/housing-local-and-community/planning-and-building	taxon	2
River maintenance, flooding and coastal erosion	71f685fe-0dc3-469d-92c2-1000ad86d7d9	/environment/river-maintenance-flooding-coastal-erosion	taxon	2
National Health Service	f3dcc290-752f-4bbe-b379-9155d919a58d	/health-and-social-care/national-health-service	taxon	2
Tests and assessments (key stage 1)	1ddd7a85-6c64-4b1e-9e54-55b50a0ae3f3	/education/primary-curriculum-key-stage-1-tests-and-assessments	taxon	4
Primary curriculum, key stage 1	904cfd73-2707-47b8-8754-5765ec5a5b68	/education/primary-curriculum-key-stage-1	taxon	3
School curriculum	7c75c541-403f-4cb1-9b34-4ddde816a80d	/education/school-curriculum	taxon	2
Energy and climate change: evidence and analysis	1407a519-c8b6-4178-ac74-55708a2c5ce9	/environment/energy-and-climate-change-evidence-and-analysis	taxon	3
Climate change and energy	62e08e6f-9161-42c6-b9dd-0cf8fcab2c69	/environment/climate-change-energy	taxon	2
Bovine tuberculosis (bovine TB)	b3077141-b10b-424c-ba10-5d41640feddb	/environment/bovine-tuberculosis	taxon	4
Keeping farmed animals	4133cff8-c12d-49eb-8c1a-31ec179a0dbf	/environment/keeping-farmed-animals	taxon	3
Maritime enforcement and prosecution	7178bed9-3c8c-40a3-bf98-bda077e4ce68	/transport/maritime-enforcement-and-prosecution	taxon	3
Maritime and shipping	4a9ab4d7-0d03-4c61-9e16-47787cbf53cd	/transport/maritime-and-shipping	taxon	2
Business tax	28262ae3-599c-4259-ae30-3c83a5ec02a1	/money/business-tax	taxon	2
Complaints and appeals	3a6a6a84-cef8-4013-9fc2-0ed2f80f3e20	/money/complaints-appeals	taxon	3
Dealing with HMRC	b20215a9-25fb-4fa6-80a3-42e23f5352c2	/money/dealing-with-hmrc	taxon	2
Scotland	e2aac912-93c5-4b19-bd3d-9c12676e985c	/regional-and-local-government/scotland	taxon	2
Waste and recycling	f4e9e92d-9192-4e17-90c6-553339bc04c3	/environment/waste-and-recycling	taxon	2
Water industry	cb4c8377-6fcb-4022-a7a1-98395eb50508	/environment/water-industry	taxon	2
Airport capacity and expansion	23941096-abfd-4997-8111-646a7c5e9813	/transport/airport-capacity-and-expansion	taxon	3
Boats and waterways	1f0d0dcf-a5c0-4116-9ece-b7d7d46b3e3e	/environment/boats-waterways	taxon	3
Rural and countryside	9949c2c1-ff96-4b4f-b584-c700e316c9de	/environment/rural-and-countryside	taxon	2
Exporting goods and services	8af13fba-d969-4d87-a02e-2e71783d47be	/money/business-tax-vat-exporting-goods-and-services	taxon	4
VAT	e04c9a5c-88e8-46e5-91d9-add405e098fb	/money/vat	taxon	3
Importing goods and services	4788b4b8-2642-47ca-bfc2-bd7e8705a1da	/money/business-tax-vat-importing-goods-and-services	taxon	4
Recruiting and managing non-teaching school staff	1b3b139c-76fe-4bd4-89de-e6dcda134abd	/education/recruiting-and-managing-non-teaching-school-staff	taxon	3
Running and managing a school	42e6e5c3-3a06-4a6f-abd4-a4b85d9c6b16	/education/running-and-managing-a-school	taxon	2
Recruiting, inducting and managing teachers	73c19fc1-d7ee-4d6c-b06e-446711ed9240	/education/recruiting-inducting-and-managing-teachers	taxon	3
Teaching and leadership	ff00b8b2-dcdb-4659-93c2-291c9be354f3	/education/teaching-and-leadership	taxon	2
Foreign affairs	d6dba75a-42bd-4e1e-984c-2bddb6b41951	/international/foreign-affairs	taxon	2
National security	8a98b827-82ad-49b4-819e-82c208c551c4	/government/national-security	taxon	2
Rail franchise procurement	bd191af7-cb8b-47d5-bcd5-82e7f95fe96d	/transport/rail-franchise-procurement	taxon	4
Rail franchising	588f7593-4dd8-46c2-bcaa-c3e99c28d541	/transport/rail-franchising	taxon	3
Rail	13d01427-33b5-4ca4-bf7a-68425f54e236	/transport/rail	taxon	2
Social care	7d67047c-bf22-4c34-b566-b46d6973f961	/health-and-social-care/social-care	taxon	2
Careers in health and social care	259e9f9f-b639-47f2-a342-7676f85b1985	/health-and-social-care/careers-health-social-care	taxon	4
Health workforce	1309a4b3-17b5-40ec-9747-16cd2ef65dc6	/health-and-social-care/health-workforce	taxon	3
Health and social care training	79097228-f2f6-4137-8fbc-b35558ff579d	/health-and-social-care/health-social-care-training	taxon	4
Equality, rights and citizenship	b297e49c-7da4-4bc1-8714-da80fa0758d3	/society-and-culture/equality-rights-and-citizenship	taxon	2
Human rights internationally	cb7db7bb-d0b4-4e22-9f0b-58a28c2db38c	/international/human-rights-internationally	taxon	2
Heart disease	022230db-a437-47ee-9fdf-1c20ba845c2c	/health-and-social-care/heart-disease	taxon	4
Health conditions	7cd02e03-8f49-48f1-a76a-9d98a14c653f	/health-and-social-care/health-conditions	taxon	3
Media and communications	4ef6d013-ec2d-4ae8-a1a0-5a984e6e6c42	/business-and-industry/media-and-communications	taxon	2
Brexit	d6c2de5d-ef90-45d1-82d4-5f2438369eea	/transition	taxon	1
Science and innovation	ccb77bcc-56b4-419a-b5ce-f7c2234e0546	/business-and-industry/science-and-innovation	taxon	2
Rail accidents and serious incidents	c6a19bb4-1264-4abe-9f1c-6c30f8dea5f7	/transport/rail-accidents-and-serious-incidents	taxon	3
Funding and finance for students	23265b25-7ec3-4960-8517-4ff8d4d92cac	/education/funding-and-finance-for-students	taxon	2
Policing	ff10faa5-1bc0-41a4-8629-d528915ad7e4	/crime-justice-and-law/policing	taxon	2
UK sea passengers	264b70fc-8063-480e-8652-9297d40efd2d	/transport/uk-sea-passengers	taxon	3
Labour market reform	4c18a195-9b74-4882-8d11-bf224ceb8292	/employment/labour-market-reform	taxon	2
Holidays, time off, sick leave, maternity and paternity leave	ebeaf804-c1b1-40cd-920f-319aa2b56ba3	/employment/time-off	taxon	3
Working, jobs and pensions	092348a4-b896-4f8f-a0dc-e6d4605a4904	/employment/working	taxon	2
Homebuying	76fec242-7040-4499-8661-dd823f88fab3	/housing-local-and-community/homebuying	taxon	3
Drivers' hours	d7dd4470-019c-489b-8978-d06924d021c9	/transport/drivers-hours	taxon	4
Road safety, driving rules and penalties	3b1f1d58-dcd5-4d7e-adb6-fcc4c56324d0	/transport/road-safety-driving-rules-and-penalties	taxon	3
Driving and road transport	84a394d2-b388-4e4e-904e-136ca3f5dd7d	/transport/driving-and-road-transport	taxon	2
Financial services	d7e02519-b7ba-4297-80a8-01cd0e5f2cb2	/business-and-industry/financial-services	taxon	2
Key stage 5 exam marking, qualifications and results	09e40fac-beaa-4ca9-b84e-db3bbf2c9536	/education/key-stage-5-exam-marking-qualifications-and-results	taxon	4
Key stage 5 (AS and A Levels)	c1b4353c-c05f-494c-8f94-10f7c6959287	/education/key-stage-5-as-and-a-levels	taxon	3
Key stage 3 and 4 exam marking, qualifications and results	af89d06d-db1c-4a37-a8df-63d1e308c183	/education/key-stage-3-and-4-exam-marking-qualifications-and-results	taxon	4
Secondary curriculum, key stage 3 and key stage 4 (GCSEs)	a28530a2-b0a3-46f9-89b9-3d98fc18e39d	/education/secondary-curriculum-key-stage-3-and-key-stage-4-gcses	taxon	3
Corporate information	a544d48b-1e9e-47fb-b427-7a987c658c14	/corporate-information	taxon	1
Health surveillance and reporting programmes	7d55894e-5ba5-4495-8962-e7650e9a0559	/health-and-social-care/health-protection-services-health-surveillance-and-reporting-programmes	taxon	4
